iter	RMSE
0	14.98930678
1	14.84558973
2	14.69571127
3	14.55066011
4	14.4025473
5	14.2727963
6	14.15763739
7	14.03510433
8	13.94106411
9	13.82532337
10	13.72182101
11	13.63557211
12	13.5538489
13	13.5067443
14	13.43365883
15	13.35951561
16	13.29246074
17	13.22462624
18	13.17009008
19	13.09223223
20	13.03225596
21	12.97487666
22	12.92062995
23	12.86378722
24	12.80764303
25	12.74890594
26	12.70641945
27	12.65314479
28	12.63112397
29	12.58763494
30	12.54853644
31	12.5119941
32	12.47466385
33	12.44540784
34	12.41277491
35	12.38391577
36	12.35311672
37	12.32083817
38	12.30543564
39	12.28100235
40	12.25544675
41	12.22762184
42	12.21637286
43	12.19904994
44	12.17740134
45	12.15786561
46	12.14505293
47	12.12681064
48	12.10585486
49	12.08275372
50	12.06285219
51	12.04346661
52	12.02792415
53	12.00773762
54	11.99389235
55	11.98068333
56	11.96779998
57	11.95389013
58	11.94065172
59	11.92748327
60	11.9174536
61	11.90443537
62	11.89453914
63	11.88486001
64	11.87269576
65	11.86138296
66	11.85022827
67	11.8446694
68	11.83418681
69	11.82486654
70	11.81664713
71	11.80393878
72	11.79878517
73	11.78664902
74	11.78569649
75	11.77984275
76	11.77377516
77	11.76651077
78	11.76167545
79	11.75275392
80	11.74488906
81	11.7376283
82	11.72590442
83	11.71697673
84	11.71246492
85	11.71162687
86	11.7060614
87	11.69655794
88	11.69092761
89	11.6845934
90	11.68377988
91	11.67801644
92	11.67662405
93	11.66906065
94	11.66702508
95	11.65725128
96	11.65605193
97	11.65503504
98	11.64685254
99	11.64185507
100	11.63586942
101	11.63372014
102	11.62803177
103	11.62124747
104	11.61595244
105	11.60893683
106	11.60290317
107	11.60009733
108	11.59601618
109	11.58842403
110	11.5851662
111	11.5778858
112	11.57345612
113	11.56834431
114	11.56317812
115	11.5590907
116	11.55385321
117	11.54717601
118	11.54531182
119	11.54485371
120	11.53895219
121	11.53401926
122	11.5289981
123	11.52299981
124	11.51883703
125	11.51434815
126	11.50891936
127	11.50527763
128	11.50005175
129	11.49649469
130	11.49081187
131	11.49066003
132	11.48937399
133	11.48338228
134	11.47774085
135	11.47566226
136	11.47340737
137	11.46893071
138	11.4617776
139	11.46139125
140	11.45948855
141	11.45652191
142	11.45595387
143	11.45051263
144	11.44554223
145	11.44532406
146	11.44415053
147	11.43860301
148	11.43572979
149	11.43445565
150	11.43392242
151	11.43274007
152	11.42836498
153	11.42344759
154	11.42171546
155	11.41879728
156	11.41438954
157	11.41172084
158	11.4109224
159	11.40897703
160	11.40440469
161	11.39975328
162	11.39534204
163	11.39527427
164	11.38969108
165	11.38538493
166	11.38176879
167	11.38031738
168	11.37777881
169	11.37650825
170	11.37610804
171	11.37304354
172	11.3705588
173	11.36746595
174	11.36400825
175	11.35995194
176	11.35577045
177	11.35133886
178	11.34892084
179	11.34591912
180	11.34114066
181	11.3385586
182	11.33709407
183	11.33367899
184	11.33287685
185	11.32997819
186	11.32630436
187	11.32597284
188	11.32212606
189	11.32079652
190	11.31715949
191	11.3143534
192	11.31106076
193	11.30712047
194	11.30344881
195	11.29967644
196	11.29554994
197	11.29294899
198	11.28812785
199	11.28423487
200	11.28186198
201	11.27886428
202	11.27639237
203	11.27628671
204	11.2731927
205	11.27123017
206	11.26930081
207	11.26647661
208	11.26252841
209	11.25945299
210	11.2556253
211	11.25296086
212	11.24969296
213	11.24640669
214	11.24315166
215	11.24062975
216	11.23809669
217	11.23611745
218	11.23356278
219	11.23133026
220	11.22905918
221	11.22515129
222	11.22277991
223	11.22119956
224	11.21710857
225	11.21389456
226	11.21133549
227	11.20906847
228	11.20629057
229	11.20379009
230	11.20224262
231	11.20017157
232	11.19836128
233	11.19703349
234	11.19437774
235	11.19292259
236	11.19031119
237	11.18814438
238	11.1860862
239	11.18249111
240	11.18006289
241	11.17784056
242	11.17570954
243	11.17374343
244	11.17222183
245	11.16976055
246	11.16748652
247	11.16563653
248	11.1639877
249	11.16200717
250	11.1596507
251	11.15792008
252	11.15634654
253	11.154442
254	11.15270669
255	11.15009824
256	11.14683625
257	11.14374692
258	11.14136966
259	11.13954409
260	11.13813843
261	11.13562308
262	11.13407948
263	11.13250297
264	11.12999691
265	11.12844893
266	11.12609319
267	11.12469331
268	11.12356238
269	11.12084946
270	11.1195546
271	11.11757374
272	11.11559162
273	11.1143251
274	11.11318805
275	11.11126892
276	11.10990368
277	11.10858395
278	11.10729619
279	11.10594881
280	11.10423088
281	11.10313073
282	11.10136606
283	11.10019218
284	11.09804966
285	11.09692318
286	11.0953749
287	11.09342794
288	11.09189937
289	11.09011216
290	11.08895151
291	11.08723879
292	11.08617156
293	11.08451765
