iter	Passed	Remaining
0	1	1019
1	1	786
2	2	738
3	2	736
4	3	740
5	4	741
6	5	743
7	6	745
8	6	732
9	7	734
10	8	737
11	8	740
12	9	730
13	10	706
14	10	710
15	11	730
16	12	737
17	13	739
18	14	741
19	15	739
20	15	738
21	16	738
22	17	737
23	18	736
24	18	734
25	19	734
26	20	733
27	21	732
28	21	723
29	22	724
30	23	723
31	23	722
32	24	722
33	25	722
34	26	731
35	27	735
36	28	738
37	29	742
38	29	737
39	30	737
40	31	738
41	32	742
42	33	741
43	34	742
44	35	743
45	35	742
46	36	738
47	37	738
48	38	737
49	38	736
50	39	736
51	40	740
52	41	743
53	42	745
54	43	746
55	44	745
56	44	744
57	45	743
58	46	742
59	47	741
60	48	739
61	48	738
62	49	737
63	50	736
64	51	736
65	51	735
66	52	734
67	53	732
68	54	733
69	55	737
70	56	738
71	57	738
72	57	735
73	58	734
74	59	728
75	59	725
76	60	724
77	61	723
78	61	720
79	62	720
80	63	718
81	64	718
82	64	716
83	65	715
84	66	713
85	66	708
86	67	707
87	68	707
88	69	709
89	70	711
90	70	708
91	71	709
92	72	708
93	73	709
94	74	706
95	74	705
96	75	701
97	75	697
98	76	696
99	77	695
100	78	694
101	78	691
102	79	690
103	80	689
104	80	689
105	81	690
106	82	692
107	83	692
108	85	694
109	86	696
110	86	696
111	87	696
112	88	698
113	89	697
114	90	699
115	91	699
116	92	701
117	93	702
118	94	701
119	95	698
120	96	697
121	96	696
122	97	695
123	98	694
124	99	697
125	100	699
126	102	702
127	103	703
128	104	702
129	104	701
130	105	700
131	105	696
132	106	694
133	107	693
134	108	692
135	108	691
136	110	696
137	111	695
138	112	694
139	112	691
140	113	689
141	114	689
142	114	688
143	115	688
144	116	689
145	117	686
146	118	686
147	119	685
148	119	684
149	120	682
150	120	679
151	121	678
152	122	678
153	124	681
154	125	681
155	126	683
156	127	684
157	128	684
158	129	684
159	130	687
160	131	687
161	132	687
162	133	687
163	134	685
164	135	685
165	136	686
166	137	686
167	138	686
168	139	686
169	140	685
170	140	683
171	141	682
172	142	681
173	143	680
174	144	680
175	145	680
176	146	681
177	147	681
178	148	680
179	149	679
180	149	678
181	150	677
182	151	676
183	152	675
184	153	674
185	153	673
186	154	672
187	155	669
188	155	668
189	156	667
190	157	667
191	158	668
192	160	670
193	161	669
194	162	669
195	163	668
196	163	667
197	164	666
198	165	665
199	166	665
200	167	664
201	167	663
202	168	661
203	169	659
204	169	658
205	170	657
206	171	656
207	172	655
208	172	654
209	174	654
210	175	654
211	176	654
212	176	653
213	177	653
214	178	652
215	179	651
216	180	650
217	181	649
218	181	648
219	182	647
220	183	646
221	184	645
222	184	644
223	185	643
224	186	642
225	187	641
226	188	641
227	189	641
228	190	641
229	191	640
230	192	639
231	192	638
232	193	637
233	194	636
234	195	635
235	196	634
236	196	633
237	197	633
238	198	632
239	199	630
240	199	629
241	200	628
242	201	627
243	202	626
244	203	626
245	204	626
246	205	626
247	206	625
248	207	624
249	208	624
250	208	623
251	209	622
252	210	622
253	211	621
254	212	620
255	213	619
256	214	618
257	214	617
258	215	617
259	216	616
260	217	614
261	218	614
262	219	614
263	219	613
264	220	612
265	222	613
266	223	612
267	224	612
268	225	611
269	226	611
270	227	611
271	228	611
272	229	610
273	229	609
274	230	608
275	231	607
276	232	606
277	233	606
278	234	606
279	235	606
280	236	605
281	237	604
282	238	603
283	238	602
284	239	601
285	240	601
286	241	600
287	242	599
288	243	598
289	243	597
290	244	596
291	245	595
292	246	594
293	247	593
294	248	593
295	249	593
296	250	593
297	251	592
298	252	591
299	253	590
300	253	589
301	254	588
302	255	587
303	256	586
304	256	585
305	257	584
306	258	583
307	259	582
308	259	581
309	260	580
310	261	579
311	262	578
312	263	579
313	264	578
314	265	578
315	266	577
316	267	576
317	268	575
318	269	575
319	270	574
320	271	574
321	272	573
322	273	572
323	273	571
324	274	570
325	275	569
326	276	569
327	277	569
328	279	569
329	280	568
330	281	568
331	282	567
332	283	567
333	284	566
334	285	566
335	286	565
336	286	564
337	287	563
338	288	562
339	289	561
340	289	560
341	290	559
342	291	558
343	292	558
344	294	558
345	295	557
346	296	557
347	297	557
348	298	556
349	299	556
350	300	555
351	301	554
352	302	554
353	303	553
354	304	553
355	305	552
356	306	552
357	308	552
358	309	551
359	310	551
360	311	551
361	312	550
362	313	549
363	314	549
364	315	548
365	316	548
366	317	547
367	317	545
368	318	544
369	319	544
370	320	543
371	321	543
372	322	542
373	323	542
374	324	541
375	325	540
376	326	539
377	326	538
378	327	537
379	328	535
380	329	534
381	330	533
382	330	532
383	331	531
384	332	530
385	333	529
386	334	529
387	334	528
388	336	527
389	337	527
390	338	527
391	339	526
392	340	525
393	341	524
394	341	523
395	342	522
396	343	521
397	344	520
398	344	519
399	345	518
400	346	517
401	347	516
402	348	515
403	349	514
404	349	513
405	351	513
406	352	513
407	353	512
408	354	511
409	354	510
410	355	509
411	356	508
412	357	507
413	358	506
414	358	505
415	359	504
416	360	503
417	361	502
418	361	501
419	362	501
420	364	500
421	365	500
422	366	499
423	367	499
424	368	498
